(index),"	timestamp","	bufferLevel","	throughput","	    latency","	mode"
"0	","'2025-02-15T05:07:45.696Z'	","'0.00'	","'0.11'	",'1535.25',1
"1	","'2025-02-15T05:07:53.700Z'	","'0.00'	","'0.13'	",'814.75',1
"2	","'2025-02-15T05:08:01.698Z'	","'4.92'	","'0.16'	",'57.75',1
"3	","'2025-02-15T05:08:09.707Z'	","'6.87'	","'0.23'	",'113.25',1
"4	","'2025-02-15T05:08:17.705Z'	","'8.66'	","'0.22'	",'109.00',1
"5	","'2025-02-15T05:08:25.700Z'	","'5.81'	","'0.21'	",'104.25',1
"6	","'2025-02-15T05:08:33.696Z'	","'2.83'	","'0.22'	",'107.25',1
"7	","'2025-02-15T05:08:41.708Z'	","'4.51'	","'0.22'	",'108.75',1
"8	","'2025-02-15T05:08:49.696Z'	","'16.40'	","'0.65'	",'71.25',2
"9	","'2025-02-15T05:08:57.702Z'	","'13.40'	","'0.98'	",'51.00',2
"10	","'2025-02-15T05:09:05.705Z'	","'5.42'	","'2.98'	",'28.75',2
"11	","'2025-02-15T05:09:13.702Z'	","'7.38'	","'2.95'	",'20.25',2
"12	","'2025-02-15T05:09:21.701Z'	","'14.31'	","'2.86'	",'31.00',2
"13	","'2025-02-15T05:09:29.709Z'	","'21.23'	","'2.85'	",'27.75',2
"14	","'2025-02-15T05:09:37.710Z'	","'28.16'	","'2.86'	",'27.25',2
"15	","'2025-02-15T05:09:45.698Z'	","'30.11'	","'2.92'	",'37.75',2
"16	","'2025-02-15T05:09:53.706Z'	","'26.83'	","'2.94'	",'38.50',2
"17	","'2025-02-15T05:10:01.695Z'	","'28.77'	","'2.99'	",'37.50',2
"18	","'2025-02-15T05:10:09.708Z'	","'30.74'	","'3.00'	",'34.25',2
"19	","'2025-02-15T05:10:17.707Z'	","'27.70'	","'3.00'	",'33.50',2
"20	","'2025-02-15T05:10:25.699Z'	","'29.64'	","'2.99'	",'33.00',2
"21	","'2025-02-15T05:10:33.706Z'	","'31.52'	","'2.98'	",'35.25',2
"22	","'2025-02-15T05:10:41.696Z'	","'28.56'	","'2.98'	",'31.25',2
"23	","'2025-02-15T05:10:49.708Z'	","'25.54'	","'2.97'	",'29.00',2
"24	","'2025-02-15T05:10:57.704Z'	","'17.57'	","'2.97'	",'29.00',3
"25	","'2025-02-15T05:11:05.707Z'	","'9.60'	","'2.97'	",'29.00',3
"26	","'2025-02-15T05:11:13.695Z'	","'1.64'	","'2.97'	",'59.75',3
"27	","'2025-02-15T05:11:21.708Z'	","'0.00'	","'2.97'	",'59.75',3
"28	","'2025-02-15T05:11:29.699Z'	","'0.00'	","'2.97'	",'115.50',3
